CITY_NAME,LATITUDE,LONGITUDE
Calexico,32.6675,-115.5175
Calgary,51.11388889,-114.19236111000001
California City,35.15111111,-118.01666667
Calipatria,33.13138889,-115.52138889
Calverton,40.915,-72.79194444
Camarillo,34.21361111,-119.09444444
Cambridge,41.10759259,-72.76046296333334
Cambridge Bay,69.10805556,-105.13722222
Camden,33.953194445,-86.664027775
Cameron,33.55944444,-80.64833333
Camp Douglas,43.93916667,-90.25305556
Camp Orkila Eastsound,48.68555556,-122.93472222
Camp Springs,38.81083333,-76.86694444
Campbell Lagoon,57.85555556,-153.63333333
Campbell River,50.000972219999994,-125.26152778
Campbellsville,37.35833333,-85.30944444
Canandaigua,42.90888889,-77.32527778
Candle,65.90777778,-161.92638889
Cannery Bay,53.68333333,-166.75
Canon City,38.42861111,-105.10694444
Canton,34.31222222,-84.42222222
Cape Canaveral,28.4675,-80.56666667
Cape Dorset,64.23027778,-76.52472222
Cape Dyer,66.59194444,-61.57333333
Cape Girardeau,37.22527778,-89.57083333
Cape Greig,57.71666667,-157.71666667
Cape Lisburne,68.875,-166.11111111
Cape May,39.00833333,-74.90861111
Cape Newenham,58.64805556,-162.06305556
Cape Peirce,58.55277778,-161.76861111
Cape Pole,55.965,-133.79333333
Cape Romanzof,61.78027778,-166.03861111
Cape Sabine,69.02694444,-163.85416667
Cape Saint James,51.93333333,-131.01666667
Cape Sarichef,54.5825,-164.91444444
Cape Simpson,71.040625,-154.631805555
Cape Spencer,58.19916667,-136.63888889
Cape Yakataga,60.08083333,-142.49555556
Carbondale,38.583472224999994,-98.20597222
Caribou,46.87166667,-68.01805556
Carlisle,40.18777778,-77.17416667
Carlsbad,32.732916665,-110.771666665
Carrabassett,45.08555556,-70.21638889
Carrizo Springs,28.52222222,-99.82361111
Carroll,42.04666667,-94.78861111
Carrollton,33.63166667,-85.15222222
Carry Inlet,58.58305556,-152.44583333
Carson City,39.19222222,-119.7325
Cartersville,34.12305556,-84.84861111
Casa Grande,32.955,-111.76694444
Casper,42.90583333,-106.46361111
Castlegar/Nelson/Trail,49.29611111,-117.6325
Castroville ,29.3425,-98.85111111
Cat Lake,51.72722222,-91.82444444
Cave Junction,42.10361111,-123.6825
Cedar City,37.70083333,-113.09888889
Cedar Rapids/Iowa City,41.88472222,-91.71083333
Ceiba,18.24736111,-65.63944444500001
Center Island,48.49,-122.83222222
Central,65.57388889,-144.78083333
Centralia,40.900416665,-85.29875
Chadron,42.8375,-103.09527778
Chalkyitsik,66.645,-143.74
Challis,44.52138889,-114.21902778
Chamberlain,43.76611111,-99.32111111
Champaign/Urbana,40.03888889,-88.27777778
Champion,40.48194444,-101.81305556
Chandalar,67.50444444,-148.48333333
Chandler,33.28402778,-111.863333335
Chapel Hill,35.935,-79.06583333
Chapleau,47.82027778,-83.34694444
Chariot,68.09722222,-165.76388889
Charles City,43.0725,-92.61083333
Charleston,35.596527775,-80.80305556
Charleston/Dunbar,38.37583333,-81.59305556
Charlevoix,45.30472222,-85.27527778
Charlo,47.99083333,-66.33027778
Charlotte,35.21361111,-80.94916667
Charlotte Amalie,18.337916665,-64.95708333
Charlottesville,38.13972222,-78.45222222
Charlottetown,46.28916667,-63.11527778
Chatham,49.601805555,-102.46708333000001
Chatham Kent,42.30611111,-82.08166667
Chattanooga,35.03527778,-85.20361111
Cheboygan,45.65388889,-84.51916667
Chefornak,60.13694444,-164.27916667
Chehalis,46.67694444,-122.98277778
Chelan,47.849722220000004,-119.988055555
Chelatna Lake Lodge,62.43416667,-151.41472222
Chemehuevi Valley,34.52888889,-114.43194444
Chena Hot Springs,65.05194444,-146.0475
Chenega,60.18097222,-148.039027775
Cheraw,34.711805555,-79.959305555
Chernofski,53.4,-167.55
Cherry Point,34.90305556,-76.88083333
Chesapeake,36.66555556,-76.32055556
Chesterfield Inlet,63.34722222,-90.73111111
Chevak,61.54083333,-165.60083333
Cheyenne,41.144444445000005,-104.83888888999999
Chibougamau,49.77194444,-74.52805556
Chicago,41.92092592666667,-87.86212963166668
Chicago/Romeoville,41.60805556,-88.09611111
Chicken,64.06666667,-141.95138889
Chico,39.79527778,-121.85833333
Chicopee Falls,42.19388889,-72.53472222
Chicoutimi,48.52083333,-71.05055556
Chignik,56.27180556,-158.580555555
Chignik Bay,56.31138889,-158.37333333
Chignik Lagoon,56.31083333,-158.53444444
Chignik Lake,56.25555556,-158.77777778
Chilkat Lake,59.33166667,-135.89666667
Chillicothe,39.44055556,-83.02305556
Chiloquin,42.57944444,-121.87888889
China Lake,35.68555556,-117.69194444
China Spring,31.67861111,-97.3625
Chincoteague,37.94027778,-75.46638889
Chinitna Bay,59.83333333,-152.58472222
Chino,33.97472222,-117.63638889
Chipley,30.78,-85.59805556
Chisana,62.07166667,-142.04944444
Chistochina,62.56222222,-144.6725
Chitina,61.58333333,-144.42972222
Chomley,55.24777778,-132.32361111
Chomondely Sound,55.23916667,-132.11416667
Chowchilla,37.11333333,-120.24694444
Christiansted,17.72527778,-64.75361111000001
Chuathbaluk,61.57916667,-159.21555556
Churchill,58.73916667,-94.06638889
Churchill Falls,53.5625,-64.10583333
Chute-Des-Passes,49.88722222,-71.25388889
Cimarron,37.83333333,-100.34694444
Cincinnati,39.132962963333334,-84.49175926
Cinder Mountain,57.05833333,-157.8
Cinder River Lodge,57.06666667,-157.81416667
Cinnabar,60.78527778,-158.86444444
Circle,59.69185185333333,-131.23361111
Circle Hot Springs,65.48583333,-144.61166667
City of Industry,34.02444444,-117.95916667
Clarendon,34.91138889,-100.86944444
Clarks Point,58.83361111,-158.52944444
Clarksburg/Fairmont,39.29777778,-80.2275
Clarksdale,34.29972222,-90.51222222
Clarksville,36.62194444,-87.415
Clay Center,39.38722222,-97.15722222
Clear,64.30166667,-149.11777778
Clear Lake,38.93472222,-122.62222222
Clear Lake City,29.55694444,-95.1375
Cleburne,32.35361111,-97.43388889
Clemson,34.67222222,-82.88583333
