,AIRPORT,CITY,STATE,CITY_MARKET_ID
547,ESD,Eastsound,WA,31588
548,LSE,La Crosse,WI,33076
549,GCK,Garden City,KS,31867
550,PSM,Portsmouth,NH,34259
551,HAE,Havasupai,AZ,32061
552,OLH,Old Harbor,AK,33863
553,BDR,Bridgeport,CT,30535
554,AET,Allakaket,AK,30184
555,OCF,Ocala,FL,33809
556,BWG,Bowling Green,KY,30819
557,PGV,Greenville,NC,34092
558,FAY,Fayetteville,NC,31641
559,LNK,Lincoln,NE,33029
560,SNP,St. Paul,AK,34919
561,WRL,Worland,WY,35843
562,CEF,Chicopee Falls,MA,30933
563,DQP,Georgetown,KY,31396
564,CKX,Chicken,AK,31036
565,KOY,Olga Bay,AK,32771
566,MMU,Morristown,NJ,33398
567,FRD,Friday Harbor,WA,31646
568,ZXH,Chomondely Sound,AK,36340
569,ISN,Williston,ND,32389
570,EDA,Edna Bay,AK,31484
571,MRC,Columbia,TN,33464
572,KPC,Port Clarence,AK,32774
573,MEO,Manteo,NC,33246
574,LUK,Cincinnati,OH,33105
575,BQN,Aguadilla,PR,30732
576,SKW,Skwentna,AK,34863
577,GST,Gustavus,AK,31997
578,PNS,Pensacola,FL,33728
579,ABR,Aberdeen,SD,30141
580,NKI,Naukiti,AK,33693
581,BKW,Beckley,WV,30654
582,TEB,Teterboro,NJ,35167
583,MBS,Saginaw/Bay City/Midland,MI,33184
584,HDN,Hayden,CO,34699
585,LWS,Lewiston,ID,33127
586,MHK,Manhattan/Ft. Riley,KS,33290
587,GDC,Greenville,SC,31871
588,AKP,Anaktuvuk Pass,AK,30247
589,BWD,Brownwood,TX,30817
590,EYW,Key West,FL,31624
591,PPG,Pago Pago,TT,34222
592,IGG,Igiugig,AK,32294
593,GDV,Glendive,MT,31879
594,TAL,Tanana,AK,35124
595,KCC,Coffman Cove,AK,32633
596,RMP,Rampart,AK,34559
597,TKJ,Tok,AK,35236
598,IKO,Nikolski,AK,32315
599,OSC,Oscoda,MI,33947
600,WJF,Lancaster,CA,34162
601,ROW,Roswell,NM,34588
602,VNY,Van Nuys,CA,32575
603,XXO,Hurricane,UT,35972
604,RQI,Nixon Fork Mine,AK,34601
605,ZNC,Nyac,AK,36311
606,PDK,Atlanta,GA,30397
607,FCA,Kalispell,MT,31648
608,BKL,Cleveland,OH,30647
609,KWF,Waterfall,AK,32847
610,GKN,Gulkana,AK,31924
611,ALO,Waterloo,IA,30268
612,SGY,Skagway,AK,34797
613,AZA,Phoenix,AZ,30466
614,GYR,Goodyear,AZ,30466
615,NKT,Cherry Point,NC,33697
616,BLF,Princeton/Bluefield,WV,30663
617,LVD,Lime Village,AK,33115
618,COU,Columbia,MO,32474
619,TRI,Bristol/Johnson City/Kingsport,TN,35323
620,TEK,Tatitlek,AK,35171
621,MOB,Mobile,AL,30562
622,PIP,Pilot Point,AK,34119
623,XXU,Ashland,OR,35978
624,CMX,Hancock/Houghton,MI,31076
625,LUR,Cape Lisburne,AK,33111
626,SMO,Santa Monica,CA,32575
627,CLM,Port Angeles,WA,31050
628,AZO,Kalamazoo,MI,30469
629,AST,Astoria/Seaside,OR,30385
630,KCQ,Chignik,AK,32631
631,KCG,Chignik Bay,AK,32631
632,CIK,Chalkyitsik,AK,31007
633,MTO,Mattoon/Charleston,IL,33506
634,MFE,Mission/McAllen/Edinburg,TX,33256
635,GLR,Gaylord,MI,31938
636,BWS,Blaine,WA,30825
637,KNW,New Stuyahok,AK,32755
638,EDF,Anchorage,AK,30299
639,GGG,Longview,TX,31905
640,TCL,Tuscaloosa,AL,35153
641,HIB,Hibbing,MN,32129
642,JZE,Trading Bay,AK,30114
643,HYS,Hays,KS,32255
644,ZXC,Gasquet,CA,36336
645,TCT,Takotna,AK,35160
646,MDH,Carbondale,IL,33221
647,MSL,Muscle Shoals,AL,33484
648,WRB,Macon,GA,33155
649,WQM,Lake Charles,LA,31205
650,LSF,Columbus,GA,31150
651,TWF,Twin Falls,ID,35389
652,OR2,Gleneden,OR,33926
653,XXW,Lake City,FL,35980
654,JHM,Kapalua,HI,32492
655,BSZ,Bartletts,AK,30770
656,A36,Deep Bay,AK,30049
657,SVN,Savannah,GA,34685
658,EIL,Fairbanks,AK,31517
659,CZN,Chisana,AK,31245
660,HYA,Hyannis,MA,32250
661,BAD,Shreveport,LA,30476
662,DUJ,DuBois,PA,31441
663,MIV,Millville,NJ,33321
664,TMB,Miami,FL,32467
665,KPR,Port Williams,AK,32782
666,SHR,Sheridan,WY,34812
667,SLN,Salina,KS,34877
668,TNC,Tin City,AK,35278
669,KNK,Kokhanok,AK,32748
670,MVY,Martha's Vineyard,MA,33541
671,FOK,Westhampton,NY,31728
672,KPY,Port Bailey,AK,32785
673,LMA,Lake Minchumina,AK,33016
674,DJN,Delta Junction,AK,31327
675,BTL,Battle Creek,MI,30778
